,Наименование вакансии,Зарплата MIN,Зарплата MAX,Ссылка на вакансию,Работодатель,Расположение,Сайт
184,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33680081?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Учебный Центр Просвещение,"Москва, Театральная",HH.RU
185,Менеджер по продажам,100000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33684581?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Компания Метта,"Москва, Отрадное",HH.RU
186,Менеджер по продажам в фитнес-клуб премиум класса (м. Водный стадион),105000.0,220000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33279583?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,"Москва, Водный стадион",HH.RU
187,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33678385?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Нек. орг. Современная Научно-Технологическая Академия,"Москва, Охотный ряд",HH.RU
188,Менеджер по работе с ключевыми клиентами,113000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33068024?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Сбербанк для экспертов,Москва,HH.RU
189,Менеджер по продажам в фитнес клуб (Академическая),100000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33279711?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,Москва,HH.RU
190,Офис-менеджер,30000.0,45000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33667090?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Анэп,"Москва, Калужская",HH.RU
191,Региональный менеджер,,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33655120?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,,,HH.RU
192,Менеджер по работе с клиентами,60000.0,100000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/27947881?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ИП Иванова Виктория Ивановна,Москва,HH.RU
193,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33679222?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Высшая Школа Технологий и Управления,"Москва, Охотный ряд",HH.RU
194,Менеджер по продажам,90000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/30767744?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО СМ ГРУПП,"Москва, Алексеевская",HH.RU
195,Менеджер по оптовым продажам,90000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33208628?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Авантис Моторс,"Москва, Южная",HH.RU
196,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33664922?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,АНО ДПО Академия Медицинского Образования,"Москва, Охотный ряд",HH.RU
197,Менеджер по продажам,55000.0,80000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/31947258?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Авантис Моторс,"Москва, Южная",HH.RU
198,Менеджер по продажам,100000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33654455?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ФинИст,Москва,HH.RU
199,Менеджер офиса,40500.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33669704?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Служба квартирного ремонта,"Москва, Селигерская",HH.RU
200,Региональный менеджер по продажам (ЦФО),70000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33062203?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Metabo,"Москва, Ботанический сад",HH.RU
201,Офис-менеджер,55000.0,65000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33635038?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Нек. орг. Творческий центр Ангелины Шкарупиной БРОСКО,"Москва, Раменки",HH.RU
202,Региональный менеджер по продажам,45000.0,70000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33647263?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Спрут,Москва,HH.RU
203,Менеджер по продажам,45000.0,100000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/32913936?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Zebra Fitness Bratislavskaya,"Москва, Братиславская",HH.RU
204,Менеджер по продажам,65000.0,300000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33154321?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Анэп,"Москва, Калужская",HH.RU
205,Офис-менеджер в автошколу,,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33680824?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Учебный Центр СТАРТ,"Москва, Алтуфьево",HH.RU
206,Менеджер по работе с корпоративными клиентами,48000.0,90000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33660027?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Компания Виспа,Москва,HH.RU
207,Менеджер по продажам б/у автозапчастей (Запад),55000.0,100000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33682687?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,FINNAUTOPARTS,"Москва, Кунцевская",HH.RU
208,Менеджер по работе с клиентами,45000.0,80000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33083454?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО MiaSofia,Москва,HH.RU
209,Менеджер по индивидуальным турам,60000.0,90000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33475689?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Плутон,"Москва, Новые Черемушки",HH.RU
210,Менеджер по закупкам (интерьеры),80000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33014121?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ПОЛИГОН,"Москва, Курская",HH.RU
211,Менеджер по продажам одежды,70000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33657335?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ХУППА РУ,"Москва, Красносельская",HH.RU
