,Наименование вакансии,Зарплата MIN,Зарплата MAX,Ссылка на вакансию,Работодатель,Расположение,Сайт
0,Управляющий / Директор / Менеджер магазина DESEO в ТЦ Лента (м. Говорово),,,https://www.superjob.ru/vakansii/upravlyayuschij-28755091.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)","Москва, Говорово",SuperJobs
1,Менеджер по работе с клиентами,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-32417843.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Рижская, Комсомольская",SuperJobs
2,Менеджер по продажам / Account Manager,75000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32561781.html,TNT Express Worldwide,"Москва, Строгино",SuperJobs
3,Менеджер по экспортным продажам,80000.0,,https://www.superjob.ru/vakansii/menedzher-po-eksportnym-prodazham-27618992.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
4,Менеджер по закупкам (с опытом работы на фармацевтическом рынке),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-zakupkam-28099325.html,БЕСТ-фарм,Москва,SuperJobs
5,Менеджер в отдел аренды квартир и комнат,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-v-otdel-arendy-kvartir-i-komnat-28982821.html,,,SuperJobs
6,Менеджер по коммерческой недвижимости,100000.0,,https://www.superjob.ru/vakansii/menedzher-po-kommercheskoj-nedvizhimosti-29036970.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Маяковская, Белорусская",SuperJobs
7,Менеджер по продажам бизнес-клиентам,57000.0,100000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-biznes-klientam-30568284.html,Эр-Телеком Холдинг,"Москва, Аэропорт, Динамо",SuperJobs
8,Менеджер по продажам оборудования,60000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-oborudovaniya-11820504.html,"НПО ""ЛАТЭМИ""","Москва, Бутырская",SuperJobs
9,Менеджер по продажам,35000.0,180000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32523782.html,Торговый дом Идеал,"Москва, Волоколамская, Митино",SuperJobs
10,Менеджер по работе с недвижимостью / Агент (м. Таганская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-25165113.html,Простор-Риэлти,"Москва, Таганская",SuperJobs
11,Менеджер по продажам,55000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32109993.html,Гранит,Москва,SuperJobs
12,Менеджер по продажам / Агент / Риелтор (новый офис) м. Маяковская,50000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310426.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
13,Менеджер по продажам,70000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310452.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
14,Менеджер (с обучением),75000.0,,https://www.superjob.ru/vakansii/menedzher-30127071.html,Простор-Риэлти,Москва,SuperJobs
15,"Менеджер по работе с клиентами в недвижимости (м. Маяковская, м. Цветной бульвар, м. Первомайская)",82000.0,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-30127114.html,Простор-Риэлти,Москва,SuperJobs
16,Менеджер по работе с клиентами в сфере купли-продажи недвижимости,,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-sfere-kupli-prodazhi-nedvizhimosti-30128957.html,Простор-Риэлти,Москва,SuperJobs
17,Менеджер / Стажер по продажам недвижимости (Цветной бульвар),75000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-30012615.html,Простор-Риэлти,Москва,SuperJobs
18,Менеджер прямых продаж,,,https://www.superjob.ru/vakansii/menedzher-pryamyh-prodazh-32094082.html,Ростелеком,"Москва, Люблино",SuperJobs
19,Менеджер по продажам,50000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32463276.html,Тотал,"Москва, Бибирево, Алтуфьево",SuperJobs
20,Управляющий / Директор / Менеджер магазина DESEO в ТЦ Лента (м. Говорово),,,https://www.superjob.ru/vakansii/upravlyayuschij-28755091.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)","Москва, Говорово",SuperJobs
21,Менеджер по работе с клиентами,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-32417843.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Рижская, Комсомольская",SuperJobs
22,Менеджер по продажам / Account Manager,75000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32561781.html,TNT Express Worldwide,"Москва, Строгино",SuperJobs
23,Менеджер по экспортным продажам,80000.0,,https://www.superjob.ru/vakansii/menedzher-po-eksportnym-prodazham-27618992.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
24,Менеджер по закупкам (с опытом работы на фармацевтическом рынке),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-zakupkam-28099325.html,БЕСТ-фарм,Москва,SuperJobs
25,Менеджер в отдел аренды квартир и комнат,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-v-otdel-arendy-kvartir-i-komnat-28982821.html,,,SuperJobs
26,Менеджер по коммерческой недвижимости,100000.0,,https://www.superjob.ru/vakansii/menedzher-po-kommercheskoj-nedvizhimosti-29036970.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Маяковская, Белорусская",SuperJobs
27,Менеджер по продажам бизнес-клиентам,57000.0,100000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-biznes-klientam-30568284.html,Эр-Телеком Холдинг,"Москва, Аэропорт, Динамо",SuperJobs
28,Менеджер по продажам оборудования,60000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-oborudovaniya-11820504.html,"НПО ""ЛАТЭМИ""","Москва, Бутырская",SuperJobs
29,Менеджер по продажам,35000.0,180000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32523782.html,Торговый дом Идеал,"Москва, Волоколамская, Митино",SuperJobs
30,Менеджер по работе с недвижимостью / Агент (м. Таганская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-25165113.html,Простор-Риэлти,"Москва, Таганская",SuperJobs
31,Менеджер по продажам,55000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32109993.html,Гранит,Москва,SuperJobs
32,Менеджер по продажам / Агент / Риелтор (новый офис) м. Маяковская,50000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310426.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
33,Менеджер по продажам,70000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310452.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
34,Менеджер (с обучением),75000.0,,https://www.superjob.ru/vakansii/menedzher-30127071.html,Простор-Риэлти,Москва,SuperJobs
35,"Менеджер по работе с клиентами в недвижимости (м. Маяковская, м. Цветной бульвар, м. Первомайская)",82000.0,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-30127114.html,Простор-Риэлти,Москва,SuperJobs
36,Менеджер по работе с клиентами в сфере купли-продажи недвижимости,,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-sfere-kupli-prodazhi-nedvizhimosti-30128957.html,Простор-Риэлти,Москва,SuperJobs
37,Менеджер / Стажер по продажам недвижимости (Цветной бульвар),75000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-30012615.html,Простор-Риэлти,Москва,SuperJobs
38,Менеджер прямых продаж,,,https://www.superjob.ru/vakansii/menedzher-pryamyh-prodazh-32094082.html,Ростелеком,"Москва, Люблино",SuperJobs
39,Менеджер по продажам,50000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32463276.html,Тотал,"Москва, Бибирево, Алтуфьево",SuperJobs
40,Управляющий / Директор / Менеджер магазина DESEO в ТЦ Лента (м. Говорово),,,https://www.superjob.ru/vakansii/upravlyayuschij-28755091.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)","Москва, Говорово",SuperJobs
41,Менеджер по работе с клиентами,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-32417843.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Рижская, Комсомольская",SuperJobs
42,Менеджер по продажам / Account Manager,75000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32561781.html,TNT Express Worldwide,"Москва, Строгино",SuperJobs
43,Менеджер по экспортным продажам,80000.0,,https://www.superjob.ru/vakansii/menedzher-po-eksportnym-prodazham-27618992.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
44,Менеджер по закупкам (с опытом работы на фармацевтическом рынке),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-zakupkam-28099325.html,БЕСТ-фарм,Москва,SuperJobs
45,Менеджер по оптовым продажам (фармацевтика),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-optovym-prodazham-30450549.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
46,Менеджер в отдел аренды квартир и комнат,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-v-otdel-arendy-kvartir-i-komnat-28982821.html,,,SuperJobs
47,Менеджер по коммерческой недвижимости,100000.0,,https://www.superjob.ru/vakansii/menedzher-po-kommercheskoj-nedvizhimosti-29036970.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Маяковская, Белорусская",SuperJobs
48,Менеджер по продажам бизнес-клиентам,57000.0,100000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-biznes-klientam-30568284.html,Эр-Телеком Холдинг,"Москва, Аэропорт, Динамо",SuperJobs
49,Менеджер по продажам оборудования,60000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-oborudovaniya-11820504.html,"НПО ""ЛАТЭМИ""","Москва, Бутырская",SuperJobs
50,"Агент по недвижимости, менеджер по продажам",45000.0,150000.0,https://www.superjob.ru/vakansii/agent-po-nedvizhimosti-31230804.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Автозаводская, Павелецкая",SuperJobs
51,Менеджер по продажам,35000.0,180000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32523782.html,Торговый дом Идеал,"Москва, Волоколамская, Митино",SuperJobs
52,Менеджер по работе с недвижимостью / Агент (м. Таганская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-25165113.html,Простор-Риэлти,"Москва, Таганская",SuperJobs
53,Менеджер по работе с клиентами в недвижимости (м. Первомайская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-25308423.html,Простор-Риэлти,"Москва, Первомайская",SuperJobs
54,Менеджер по продажам городской недвижимости (м. Баррикадная),60000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-gorodskoj-nedvizhimosti-26350709.html,Простор-Риэлти,"Москва, Красносельская, Маяковская",SuperJobs
55,Менеджер по продажам,55000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32109993.html,Гранит,Москва,SuperJobs
56,Менеджер по продажам / Агент / Риелтор (новый офис) м. Маяковская,50000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310426.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
57,Менеджер по продажам,70000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310452.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
58,Менеджер (с обучением),75000.0,,https://www.superjob.ru/vakansii/menedzher-30127071.html,Простор-Риэлти,Москва,SuperJobs
59,"Менеджер по работе с клиентами в недвижимости (м. Маяковская, м. Цветной бульвар, м. Первомайская)",82000.0,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-30127114.html,Простор-Риэлти,Москва,SuperJobs
60,Менеджер по продажам,60000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33687103?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО АДМ дентал,Москва,HH.RU
61,Менеджер по продажам в клуб (м. Белорусская),80000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33279665?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,Москва,HH.RU
62,Менеджер по работе с клиентами,100000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33681667?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Гермес,Москва,HH.RU
63,Менеджер по работе с клиентами,60000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33417165?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО АБН Консалт,"Москва, Менделеевская",HH.RU
64,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33680081?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Учебный Центр Просвещение,"Москва, Театральная",HH.RU
65,Менеджер по продажам,100000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33684581?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Компания Метта,"Москва, Отрадное",HH.RU
66,Менеджер по продажам в фитнес-клуб премиум класса (м. Водный стадион),105000.0,220000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33279583?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,"Москва, Водный стадион",HH.RU
67,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33678385?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Нек. орг. Современная Научно-Технологическая Академия,"Москва, Охотный ряд",HH.RU
68,Менеджер по работе с ключевыми клиентами,113000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33068024?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Сбербанк для экспертов,Москва,HH.RU
69,Менеджер по продажам в фитнес клуб (Академическая),100000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33279711?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,Москва,HH.RU
70,Офис-менеджер,30000.0,45000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33667090?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Анэп,"Москва, Калужская",HH.RU
71,Региональный менеджер,,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33655120?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,,,HH.RU
72,Менеджер по работе с клиентами,60000.0,100000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/27947881?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ИП Иванова Виктория Ивановна,Москва,HH.RU
73,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33679222?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Высшая Школа Технологий и Управления,"Москва, Охотный ряд",HH.RU
74,Менеджер по продажам,90000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/30767744?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО СМ ГРУПП,"Москва, Алексеевская",HH.RU
75,Менеджер по оптовым продажам,90000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33208628?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Авантис Моторс,"Москва, Южная",HH.RU
76,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33664922?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,АНО ДПО Академия Медицинского Образования,"Москва, Охотный ряд",HH.RU
77,Менеджер по продажам,55000.0,80000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/31947258?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Авантис Моторс,"Москва, Южная",HH.RU
78,Менеджер по продажам,100000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33654455?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ФинИст,Москва,HH.RU
79,Менеджер офиса,40500.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33669704?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Служба квартирного ремонта,"Москва, Селигерская",HH.RU
80,Региональный менеджер по продажам (ЦФО),70000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33062203?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Metabo,"Москва, Ботанический сад",HH.RU
81,Офис-менеджер,55000.0,65000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33635038?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Нек. орг. Творческий центр Ангелины Шкарупиной БРОСКО,"Москва, Раменки",HH.RU
82,Региональный менеджер по продажам,45000.0,70000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33647263?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Спрут,Москва,HH.RU
83,Менеджер по продажам,45000.0,100000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/32913936?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Zebra Fitness Bratislavskaya,"Москва, Братиславская",HH.RU
84,Менеджер по продажам,65000.0,300000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33154321?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Анэп,"Москва, Калужская",HH.RU
85,Офис-менеджер в автошколу,,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33680824?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Учебный Центр СТАРТ,"Москва, Алтуфьево",HH.RU
86,Менеджер по работе с корпоративными клиентами,48000.0,90000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33660027?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Компания Виспа,Москва,HH.RU
87,Менеджер по продажам б/у автозапчастей (Запад),55000.0,100000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33682687?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,FINNAUTOPARTS,"Москва, Кунцевская",HH.RU
88,Менеджер по работе с клиентами,45000.0,80000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33083454?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО MiaSofia,Москва,HH.RU
89,Менеджер по индивидуальным турам,60000.0,90000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33475689?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Плутон,"Москва, Новые Черемушки",HH.RU
90,Менеджер по закупкам (интерьеры),80000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33014121?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ПОЛИГОН,"Москва, Курская",HH.RU
91,Менеджер по продажам одежды,70000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33657335?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ХУППА РУ,"Москва, Красносельская",HH.RU
92,Менеджер по рекламациям,60000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33625243?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,"Ангстрем, Группа компаний","Москва, Печатники",HH.RU
93,Помощник менеджера по продажам,45000.0,50000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33660176?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,"Диарм, ГК","Москва, Молодежная",HH.RU
94,Ведущий менеджер по работе с корпоративными клиентами,100000.0,140000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/32784928?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Соткон,Москва,HH.RU
95,Офис-менеджер,30000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33628962?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Агро СОС,"Москва, Славянский бульвар",HH.RU
96,Менеджер по продажам,80000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33649981?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Лайф Сити Клуб,"Москва, Нагорная",HH.RU
97,Менеджер по продажам,80000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33649865?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Лайф Сити Клуб,"Москва, Улица Академика Королёва",HH.RU
98,Менеджер по работе с клиентами в отделение банка.,60000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/31673645?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Банк Русский Стандарт,Москва,HH.RU
99,Менеджер по работе с клиентами,60000.0,180000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33637720?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО НАУКА,Москва,HH.RU
100,Менеджер по продажам,70000.0,200000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33625272?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,АНО ДПО «Академия Промышленной Безопасности и Капитального Строительства»,"Москва, Нагатинская",HH.RU
101,Менеджер отдела снабжения и ВЭД,80500.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33658004?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Импортмеханика,"Москва, Водный стадион",HH.RU
102,Менеджер по закупкам,40000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/32654478?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,mr.Сумкин,Москва,HH.RU
103,Менеджер по региональным продажам (дистрибьюторы и региональные сети),70000.0,130000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33658271?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО ТД Тибет,Москва,HH.RU
104,"Менеджер по продажам в фитнес-клуб, г.Санкт-Петербург",65000.0,200000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/32475357?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,Москва,HH.RU
105,Менеджер по оптовым продажам,60000.0,500000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33172627?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО НИОКР Системс,"Москва, Котельники",HH.RU
106,Менеджер по продажам,50000.0,120000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33653555?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Евроспецкомплект,"Москва, Перово",HH.RU
107,Офис-менеджер,,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33611153?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Банкирро,"Москва, Марксистская",HH.RU
